article_title,volume_title,url,retrieval_date_unix,analyzed
Editorial,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700287987.841302,TRUE
Wandel medialer Techniken,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700287996.292404,TRUE
Historische und theoretische Perspektiven auf Medienkompetenz,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700287998.19143,TRUE
Zur Geschichte der Medienkompetenz,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700288041.546032,TRUE
Dimensionen von Medienkompetenz,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700288046.022355,TRUE
Medienkompetenz und Medienbildung,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700288051.301912,TRUE
Medienkompetenz und Kontexte der Mediensozialisation,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700288053.638668,TRUE
Medienkompetenz und Familie,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700288059.481763,TRUE
Frühe Medienbildung und Medienkompetenzförderung in Kindertagesstätten,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700288062.867052,TRUE
Medienkompetenz und Schule,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700288069.051432,TRUE
Medienkompetenz und Jugendarbeit,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700288074.171299,TRUE
Aktuelle Herausforderungen und Diskurse,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700288076.304168,TRUE
Jugend und soziale Medien,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700288081.251438,TRUE
Vertrauenskrise des Journalismus,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700288087.02106,TRUE
"Fake News, Misinformation, Desinformation",Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700288093.53269,TRUE
Chancengerechtigkeit und digitale Medien,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700288100.562448,TRUE
Gesellschaftlicher Zusammenhalt und  mediale Öffentlichkeit,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700288105.741584,TRUE
Jugendmedienschutz,Medienkompetenz in einer digitalen Welt,/shop/zeitschriften/izpb/medienkompetenz-355/,1700288110.369936,TRUE
